,project_name,num_commits,project_age_days,num_issues,num_pull,num_stargazers,num_watchers,num_forks,num_subscribers,num_contributors,project_size(kB),ssf_score,ssf0_Binary-Artifacts,ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST,ssf17_Vulnerabilities,Generic policy,Reporting mechanism,Scope of practice,User guideline
219,geopython/pycsw,0.018898610876319607,0.8143776824034334,0.007445598168123623,0.005974808913768974,0.0011060224533296107,0.0011060224533296107,0.0020861653588877373,0.0026367831245880024,0.09812108559498955,0.0014396611261725722,5.9,10,0,0,0,0,10,10,0,10,1,1,1,0
220,jazzband/tablib,0.0069193865238098015,0.8444206008583691,0.004320463153650071,0.0037033049843901386,0.02476738629713347,0.02476738629713347,0.007981264889164053,0.017666446934739618,0.2275574112734864,0.00033980805285873804,5.8,10,6,0,0,0,10,3,0,10,0,1,0,0
221,plone/plone.app.contenttypes,0.01363474732872041,0.8043633762517882,0.005069343433616084,0.004403057379696415,7.516657449812888e-05,7.516657449812888e-05,0.0006460383046878155,0.02096242584047462,0.18371607515657618,0.0006195822532037106,5.6,10,3,0,0,0,0,10,0,10,0,1,0,0
222,freetakteam/freetakserver,0.011064023270590568,0.2655579399141631,0.005054941889770583,0.002034664657121326,0.0036187336579813476,0.0036187336579813476,0.00228805232910268,0.007910349373764008,0.07306889352818371,0.003139194819391033,6.0,10,0,0,10,0,10,10,9,8,1,1,1,0
223,python-ldap/python-ldap,0.005491206491515445,0.4093347639484978,0.004154845399426819,0.003337280654537625,0.0021529854552678343,0.0021529854552678343,0.0016150957617195388,0.002768622280817403,0.06263048016701461,0.00020279928808074733,5.5,10,8,0,0,0,9,1,0,10,1,1,1,0
224,google/protobuf,0.11079762397477076,0.621244635193133,0.1355977360773075,0.13474001507159006,0.3521392944006271,0.3521392944006271,0.2083877306558635,0.27013843111404084,0.7745302713987473,0.02838630813682389,6.0,10,6,0,10,10,9,10,0,7,0,0,0,0
225,horazont/aioxmpp,0.011582831527219947,0.6226752503576538,0.0011233204199490186,0.001679405748735063,0.0011704509457565785,0.0011704509457565785,0.0006594974360354783,0.002768622280817403,0.02713987473903966,0.000902645979713821,4.2,10,3,0,0,0,10,0,0,10,1,1,1,0
226,sh4nks/flask-caching,0.004290369403137333,0.5,0.004154845399426819,0.003671008719991387,0.004799922685809087,0.004799922685809087,0.0026110714814465874,0.002241265655899802,0.1983298538622129,0.0001761541261431309,5.1,10,0,0,10,0,9,0,0,10,0,1,0,0
227,weblateorg/weblate,0.3974012952718497,0.7841559370529327,0.08672609703760244,0.07115943589191517,0.02460094602503047,0.02460094602503047,0.013674477449225429,0.012656558998022413,0.6513569937369519,0.5066519975729876,6.4,10,3,0,10,0,10,10,10,10,1,0,0,0
228,stackstorm/st2,0.12943391606964855,0.6437768240343348,0.04276538444921296,0.04667886747766174,0.032611555250116775,0.032611555250116775,0.010080889379399454,0.022148978246539223,0.32359081419624214,0.006890077029189446,6.6,10,1,0,10,0,10,10,0,10,0,1,0,0
